Algoritm,Seed,Max Iter,Initial Temp,Alpha,Energy,Time (s)
SA,2,100000,200,0.7,12826.0,3.137
SA,2,100000,200,0.8,13010.0,3.110
SA,2,100000,200,0.9,12952.0,3.745
SA,2,100000,200,0.99,12881.0,3.088
SA,2,100000,500,0.7,12863.0,3.823
SA,2,100000,500,0.8,12864.0,2.993
SA,2,100000,500,0.9,12876.0,2.934
SA,2,100000,500,0.99,12900.0,3.436
SA,2,100000,1000,0.7,12929.0,3.111
SA,2,100000,1000,0.8,12849.0,3.669
SA,2,100000,1000,0.9,12921.0,3.610
SA,2,100000,1000,0.99,12795.0,3.227
SA,2,100000,2000,0.7,12822.0,3.438
SA,2,100000,2000,0.8,12850.0,2.876
SA,2,100000,2000,0.9,12851.0,3.982
SA,2,100000,2000,0.99,12896.0,3.172
SA,2,100000,5000,0.7,12849.0,2.998
SA,2,100000,5000,0.8,12825.0,3.850
SA,2,100000,5000,0.9,12910.0,3.451
SA,2,100000,5000,0.99,12873.0,3.181
SA,3,50000,10,0.7,12886.0,3.144
SA,3,50000,10,0.8,12886.0,3.204
SA,3,50000,10,0.9,12943.0,3.267
SA,3,50000,10,0.99,12916.0,3.921
SA,3,50000,50,0.7,12886.0,3.977
SA,3,50000,50,0.8,12943.0,2.998
SA,3,50000,50,0.9,12804.0,3.411
SA,3,50000,50,0.99,12966.0,3.666
SA,3,50000,100,0.7,12943.0,3.859
SA,3,50000,100,0.8,12804.0,3.036
SA,3,50000,100,0.9,12948.0,3.490
SA,3,50000,100,0.99,12897.0,3.173
SA,3,50000,200,0.7,12943.0,3.885
SA,3,50000,200,0.8,12804.0,3.784
SA,3,50000,200,0.9,12886.0,3.358
SA,3,50000,200,0.99,12818.0,3.540
SA,3,50000,500,0.7,12804.0,3.178
SA,3,50000,500,0.8,12847.0,3.695
SA,3,50000,500,0.9,12836.0,3.749
SA,3,50000,500,0.99,12906.0,2.955
SA,3,50000,1000,0.7,12965.0,3.019
SA,3,50000,1000,0.8,12905.0,3.045
SA,3,50000,1000,0.9,12952.0,2.975
SA,3,50000,1000,0.99,12866.0,3.585
SA,3,50000,2000,0.7,12775.0,3.191
SA,3,50000,2000,0.8,12905.0,3.112
SA,3,50000,2000,0.9,12904.0,3.019
SA,3,50000,2000,0.99,12920.0,3.763
SA,3,50000,5000,0.7,12905.0,3.453
SA,3,50000,5000,0.8,12859.0,3.200
SA,3,50000,5000,0.9,12923.0,3.396
SA,3,50000,5000,0.99,12863.0,2.995
SA,3,75000,10,0.7,12886.0,3.057
SA,3,75000,10,0.8,12886.0,3.400
SA,3,75000,10,0.9,12943.0,3.225
SA,3,75000,10,0.99,12916.0,3.088
SA,3,75000,50,0.7,12886.0,3.062
SA,3,75000,50,0.8,12943.0,3.567
SA,3,75000,50,0.9,12804.0,4.033
SA,3,75000,50,0.99,12966.0,3.287
SA,3,75000,100,0.7,12943.0,3.131
SA,3,75000,100,0.8,12804.0,3.295
SA,3,75000,100,0.9,12948.0,3.125
SA,3,75000,100,0.99,12897.0,3.388
