Algoritm,Seed,Max Iter,Population,BitFlip Prob,Energy,Time (s)
EA,2,75000,1000,0.002,10893.0,6.739
EA,2,75000,1000,0.005,10137.0,5.849
EA,2,75000,1000,0.01,9235.0,5.052
EA,2,100000,20,0.0005,12701.0,4.310
EA,2,100000,20,0.001,12841.0,4.332
EA,2,100000,20,0.002,12796.0,4.393
EA,2,100000,20,0.005,12499.0,4.712
EA,2,100000,20,0.01,11322.0,4.545
EA,2,100000,50,0.0005,12740.0,4.835
EA,2,100000,50,0.001,12764.0,4.749
EA,2,100000,50,0.002,12714.0,4.898
EA,2,100000,50,0.005,12425.0,4.482
EA,2,100000,50,0.01,11308.0,4.445
EA,2,100000,100,0.0005,12904.0,4.344
EA,2,100000,100,0.001,12883.0,4.439
EA,2,100000,100,0.002,12758.0,4.338
EA,2,100000,100,0.005,12113.0,4.338
EA,2,100000,100,0.01,11161.0,4.750
EA,2,100000,200,0.0005,12753.0,4.928
EA,2,100000,200,0.001,12743.0,4.472
EA,2,100000,200,0.002,12414.0,4.484
EA,2,100000,200,0.005,11898.0,4.946
EA,2,100000,200,0.01,10409.0,4.518
EA,2,100000,500,0.0005,12046.0,4.709
EA,2,100000,500,0.001,12164.0,4.783
EA,2,100000,500,0.002,12003.0,4.631
EA,2,100000,500,0.005,11249.0,4.691
EA,2,100000,500,0.01,9908.0,4.673
EA,2,100000,1000,0.0005,10826.0,5.042
EA,2,100000,1000,0.001,10828.0,5.919
EA,2,100000,1000,0.002,10893.0,5.209
EA,2,100000,1000,0.005,10137.0,5.571
EA,2,100000,1000,0.01,9235.0,4.845
EA,3,50000,20,0.0005,12890.0,4.765
EA,3,50000,20,0.001,12828.0,4.457
EA,3,50000,20,0.002,12852.0,4.404
EA,3,50000,20,0.005,12448.0,4.272
EA,3,50000,20,0.01,11434.0,4.498
EA,3,50000,50,0.0005,12803.0,4.445
EA,3,50000,50,0.001,12881.0,4.871
EA,3,50000,50,0.002,12782.0,4.304
EA,3,50000,50,0.005,12377.0,4.452
EA,3,50000,50,0.01,11328.0,4.337
EA,3,50000,100,0.0005,12773.0,4.787
EA,3,50000,100,0.001,12544.0,4.434
EA,3,50000,100,0.002,12740.0,4.928
EA,3,50000,100,0.005,12081.0,4.929
EA,3,50000,100,0.01,11082.0,4.421
EA,3,50000,200,0.0005,12804.0,4.750
EA,3,50000,200,0.001,12740.0,4.866
EA,3,50000,200,0.002,12585.0,4.936
EA,3,50000,200,0.005,11740.0,5.113
EA,3,50000,200,0.01,10823.0,4.334
EA,3,50000,500,0.0005,11779.0,4.637
EA,3,50000,500,0.001,11784.0,4.739
EA,3,50000,500,0.002,11922.0,5.120
EA,3,50000,500,0.005,11400.0,4.706
EA,3,50000,500,0.01,10222.0,4.605
EA,3,50000,1000,0.0005,10629.0,5.114
EA,3,50000,1000,0.001,10728.0,5.062
EA,3,50000,1000,0.002,10886.0,5.381
EA,3,50000,1000,0.005,10384.0,6.244
EA,3,50000,1000,0.01,8902.0,5.507
EA,3,75000,20,0.0005,12890.0,4.512
EA,3,75000,20,0.001,12828.0,4.402
EA,3,75000,20,0.002,12852.0,4.412
EA,3,75000,20,0.005,12448.0,4.554
EA,3,75000,20,0.01,11434.0,4.418
EA,3,75000,50,0.0005,12803.0,4.469
EA,3,75000,50,0.001,12881.0,4.431
EA,3,75000,50,0.002,12782.0,4.446
EA,3,75000,50,0.005,12377.0,4.334
EA,3,75000,50,0.01,11328.0,4.503
EA,3,75000,100,0.0005,12773.0,4.855
EA,3,75000,100,0.001,12544.0,4.806
EA,3,75000,100,0.002,12740.0,4.201
EA,3,75000,100,0.005,12081.0,4.500
EA,3,75000,100,0.01,11082.0,4.881
EA,3,75000,200,0.0005,12804.0,4.752
EA,3,75000,200,0.001,12740.0,4.487
EA,3,75000,200,0.002,12585.0,5.228
EA,3,75000,200,0.005,11740.0,5.345
EA,3,75000,200,0.01,10823.0,4.474
EA,3,75000,500,0.0005,11779.0,4.743
EA,3,75000,500,0.001,11784.0,4.684
EA,3,75000,500,0.002,11922.0,5.481
EA,3,75000,500,0.005,11400.0,5.561
EA,3,75000,500,0.01,10222.0,5.159
EA,3,75000,1000,0.0005,10629.0,5.839
EA,3,75000,1000,0.001,10728.0,5.958
EA,3,75000,1000,0.002,10886.0,5.579
EA,3,75000,1000,0.005,10384.0,6.266
EA,3,75000,1000,0.01,8902.0,5.414
EA,3,100000,20,0.0005,12890.0,4.411
EA,3,100000,20,0.001,12828.0,4.311
EA,3,100000,20,0.002,12852.0,4.474
EA,3,100000,20,0.005,12448.0,4.691
EA,3,100000,20,0.01,11434.0,4.404
EA,3,100000,50,0.0005,12803.0,4.493
EA,3,100000,50,0.001,12881.0,4.337
EA,3,100000,50,0.002,12782.0,4.313
EA,3,100000,50,0.005,12377.0,4.527
EA,3,100000,50,0.01,11328.0,4.350
EA,3,100000,100,0.0005,12773.0,4.411
EA,3,100000,100,0.001,12544.0,4.444
EA,3,100000,100,0.002,12740.0,4.454
EA,3,100000,100,0.005,12081.0,4.555
EA,3,100000,100,0.01,11082.0,4.508
EA,3,100000,200,0.0005,12804.0,4.529
EA,3,100000,200,0.001,12740.0,4.482
EA,3,100000,200,0.002,12585.0,4.969
EA,3,100000,200,0.005,11740.0,5.446
EA,3,100000,200,0.01,10823.0,4.430
EA,3,100000,500,0.0005,11779.0,5.168
EA,3,100000,500,0.001,11784.0,4.692
EA,3,100000,500,0.002,11922.0,5.123
EA,3,100000,500,0.005,11400.0,4.690
EA,3,100000,500,0.01,10222.0,4.796
EA,3,100000,1000,0.0005,10629.0,5.154
EA,3,100000,1000,0.001,10728.0,6.125
EA,3,100000,1000,0.002,10886.0,5.037
EA,3,100000,1000,0.005,10384.0,5.448
EA,3,100000,1000,0.01,8902.0,5.913
EA,4,50000,20,0.0005,12911.0,4.575
EA,4,50000,20,0.001,12860.0,4.387
EA,4,50000,20,0.002,12902.0,4.383
EA,4,50000,20,0.005,12661.0,4.473
EA,4,50000,20,0.01,11274.0,4.384
EA,4,50000,50,0.0005,12812.0,4.434
EA,4,50000,50,0.001,12931.0,4.347
EA,4,50000,50,0.002,12894.0,4.855
EA,4,50000,50,0.005,12455.0,4.705
EA,4,50000,50,0.01,11232.0,4.502
EA,4,50000,100,0.0005,12865.0,4.472
EA,4,50000,100,0.001,12716.0,4.385
EA,4,50000,100,0.002,12753.0,4.390
EA,4,50000,100,0.005,12204.0,4.476
EA,4,50000,100,0.01,11317.0,4.420
EA,4,50000,200,0.0005,12726.0,4.551
EA,4,50000,200,0.001,12592.0,4.415
EA,4,50000,200,0.002,12575.0,4.412
EA,4,50000,200,0.005,11872.0,4.391
EA,4,50000,200,0.01,10767.0,4.322
EA,4,50000,500,0.0005,11676.0,5.259
EA,4,50000,500,0.001,11968.0,4.608
EA,4,50000,500,0.002,11770.0,5.233
EA,4,50000,500,0.005,11342.0,5.528
EA,4,50000,500,0.01,10252.0,5.593
EA,4,50000,1000,0.0005,10319.0,5.583
EA,4,50000,1000,0.001,10799.0,5.123
EA,4,50000,1000,0.002,10880.0,5.179
EA,4,50000,1000,0.005,10072.0,5.539
EA,4,50000,1000,0.01,9247.0,5.156
